uf;municipio;dia_semana;fase_dia;causa_acidente;tipo_acidente;condicao_metereologica;tipo_pista;tracado_via;uso_solo
ES;ARACRUZ;segunda-feira;Pleno dia;Transitar na contramão;Colisão frontal;Nublado;Simples;Reta;Sim
MG;DOM CAVATI;segunda-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Chuva;Simples;Reta;Sim
SC;ITAJAI;segunda-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Sol;Múltipla;Reta;Sim
MG;JUIZ DE FORA;segunda-feira;Pleno dia;Condutor Dormindo;Saída de leito carroçável;Nublado;Dupla;Curva;Não
SC;BLUMENAU;segunda-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;"Rotatória;Interseção de Vias";Não
RJ;ITAGUAI;segunda-feira;Pleno dia;Condutor Dormindo;Colisão traseira;Céu Claro;Dupla;Reta;Sim
GO;FLORES DE GOIAS;segunda-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Colisão frontal;Nublado;Simples;"Aclive;Reta";Não
PR;CHOPINZINHO;segunda-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;Interseção de Vias;Não
RJ;BELFORD ROXO;segunda-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Sim
MG;CAMPOS ALTOS;segunda-feira;Pleno dia;Ultrapassagem Indevida;Tombamento;Sol;Simples;Curva;Não
SC;ARAQUARI;segunda-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Incêndio;Céu Claro;Dupla;Reta;Não
PB;QUEIMADAS;segunda-feira;Anoitecer;Demais falhas mecânicas ou elétricas;Saída de leito carroçável;Céu Claro;Simples;Reta;Sim
MG;PADRE CARVALHO;segunda-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Tombamento;Nublado;Simples;"Reta;Declive";Não
BA;SANTO ESTEVAO;segunda-feira;Plena Noite;Acessar a via sem observar a presença dos outros veículos;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Sim
SC;ICARA;segunda-feira;Anoitecer;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Céu Claro;Múltipla;Reta;Não
BA;CORRENTINA;segunda-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Céu Claro;Simples;Reta;Não
MG;SAO GONCALO DO ABAETE;segunda-feira;Pleno dia;Pedestre andava na pista;Atropelamento de Pedestre;Céu Claro;Simples;"Declive;Reta";Não
SE;ESTANCIA;segunda-feira;Plena Noite;Afundamento ou ondulação no pavimento;Queda de ocupante de veículo;Céu Claro;Dupla;Reta;Não
PE;ARCOVERDE;segunda-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Tombamento;Céu Claro;Simples;Curva;Não
MG;PRATA;segunda-feira;Plena Noite;Chuva;Colisão traseira;Chuva;Dupla;Reta;Não
PR;PARANAGUA;segunda-feira;Plena Noite;Desrespeitar a preferência no cruzamento;Colisão transversal;Nublado;Simples;"Interseção de Vias;Reta";Sim
MT;PRIMAVERA DO LESTE;segunda-feira;Plena Noite;Demais falhas mecânicas ou elétricas;Eventos atípicos;Nevoeiro/Neblina;Simples;"Declive;Reta";Não
MT;GENERAL CARNEIRO;segunda-feira;Plena Noite;Pedestre andava na pista;Atropelamento de Pedestre;Nublado;Simples;Reta;Não
DF;BRASILIA;segunda-feira;Plena Noite;Acessar a via sem observar a presença dos outros veículos;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Sim
PR;TIBAGI;segunda-feira;Plena Noite;Transitar na contramão;Colisão frontal;Céu Claro;Simples;"Curva;Declive";Não
RR;CARACARAI;segunda-feira;Plena Noite;Pedestre - Ingestão de álcool/ substâncias psicoativas;Atropelamento de Pedestre;Céu Claro;Simples;Reta;Não
BA;SIMOES FILHO;segunda-feira;Pleno dia;Problema com o freio;Engavetamento;Céu Claro;Simples;Reta;Não
PR;QUATRO BARRAS;segunda-feira;Plena Noite;Objeto estático sobre o leito carroçável;Colisão com objeto;Nublado;Dupla;Reta;Não
SP;REGISTRO;terça-feira;Plena Noite;Pedestre cruzava a pista fora da faixa;Atropelamento de Pedestre;Céu Claro;Dupla;Reta;Não
SP;CAJATI;terça-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Tombamento;Garoa/Chuvisco;Simples;Curva;Não
SC;BLUMENAU;terça-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Incêndio;Céu Claro;Múltipla;Reta;Sim
BA;PONTO NOVO;terça-feira;Amanhecer;Ausência de reação do condutor;Colisão traseira;Céu Claro;Simples;Reta;Não
CE;EUSEBIO;sexta-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Sim
SE;ITAPORANGA DAJUDA;terça-feira;Pleno dia;Mal súbito do condutor;Saída de leito carroçável;Céu Claro;Dupla;Reta;Não
